CUSTOMER ID : 123456789 ; PRODUCT NAME : prod1 ; QUANTITY : 5
CUSTOMER ID : 123456789 ; PRODUCT NAME : prod2 ; QUANTITY : 2
CUSTOMER ID : 123456789 ; PRODUCT NAME : prod3 ; QUANTITY : 7
CUSTOMER ID : 123456789 ; PRODUCT NAME : prod4 ; QUANTITY : 0
CUSTOMER ID : 123456789 ; PRODUCT NAME : prod5 ; QUANTITY : 1
CUSTOMER ID : 987654321 ; PRODUCT NAME : prod1 ; QUANTITY : 4
CUSTOMER ID : 987654321 ; PRODUCT NAME : prod2 ; QUANTITY : 3
CUSTOMER ID : 987654321 ; PRODUCT NAME : prod3 ; QUANTITY : 9
CUSTOMER ID : 987654321 ; PRODUCT NAME : prod4 ; QUANTITY : 10
CUSTOMER ID : 987654321 ; PRODUCT NAME : prod5 ; QUANTITY : 6
CUSTOMER ID : 111111111 ; PRODUCT NAME : prod1 ; QUANTITY : 1
CUSTOMER ID : 111111111 ; PRODUCT NAME : prod2 ; QUANTITY : 11
CUSTOMER ID : 111111111 ; PRODUCT NAME : prod3 ; QUANTITY : 14
CUSTOMER ID : 111111111 ; PRODUCT NAME : prod4 ; QUANTITY : 5
CUSTOMER ID : 111111111 ; PRODUCT NAME : prod5 ; QUANTITY : 8
CUSTOMER ID : 222222222 ; PRODUCT NAME : prod1 ; QUANTITY : 8
CUSTOMER ID : 222222222 ; PRODUCT NAME : prod2 ; QUANTITY : 2
CUSTOMER ID : 222222222 ; PRODUCT NAME : prod3 ; QUANTITY : 3
CUSTOMER ID : 222222222 ; PRODUCT NAME : prod4 ; QUANTITY : 23
CUSTOMER ID : 222222222 ; PRODUCT NAME : prod5 ; QUANTITY : 7
CUSTOMER ID : 333333333 ; PRODUCT NAME : prod1 ; QUANTITY : 8
CUSTOMER ID : 333333333 ; PRODUCT NAME : prod2 ; QUANTITY : 9
CUSTOMER ID : 333333333 ; PRODUCT NAME : prod3 ; QUANTITY : 32
CUSTOMER ID : 333333333 ; PRODUCT NAME : prod4 ; QUANTITY : 1
CUSTOMER ID : 333333333 ; PRODUCT NAME : prod5 ; QUANTITY : 0
CUSTOMER ID : 444444444 ; PRODUCT NAME : prod1 ; QUANTITY : 4
CUSTOMER ID : 444444444 ; PRODUCT NAME : prod2 ; QUANTITY : 5
CUSTOMER ID : 444444444 ; PRODUCT NAME : prod3 ; QUANTITY : 6
CUSTOMER ID : 444444444 ; PRODUCT NAME : prod4 ; QUANTITY : 20
CUSTOMER ID : 444444444 ; PRODUCT NAME : prod5 ; QUANTITY : 5
CUSTOMER ID : 555555555 ; PRODUCT NAME : prod1 ; QUANTITY : 2
CUSTOMER ID : 555555555 ; PRODUCT NAME : prod2 ; QUANTITY : 3
CUSTOMER ID : 555555555 ; PRODUCT NAME : prod3 ; QUANTITY : 6
CUSTOMER ID : 555555555 ; PRODUCT NAME : prod4 ; QUANTITY : 15
CUSTOMER ID : 555555555 ; PRODUCT NAME : prod5 ; QUANTITY : 8
CUSTOMER ID : 666666666 ; PRODUCT NAME : prod1 ; QUANTITY : 12
CUSTOMER ID : 666666666 ; PRODUCT NAME : prod2 ; QUANTITY : 56
CUSTOMER ID : 666666666 ; PRODUCT NAME : prod3 ; QUANTITY : 23
CUSTOMER ID : 666666666 ; PRODUCT NAME : prod4 ; QUANTITY : 1
CUSTOMER ID : 666666666 ; PRODUCT NAME : prod5 ; QUANTITY : 0
CUSTOMER ID : 777777777 ; PRODUCT NAME : prod1 ; QUANTITY : 5
CUSTOMER ID : 777777777 ; PRODUCT NAME : prod2 ; QUANTITY : 2
CUSTOMER ID : 777777777 ; PRODUCT NAME : prod3 ; QUANTITY : 7
CUSTOMER ID : 777777777 ; PRODUCT NAME : prod4 ; QUANTITY : 4
CUSTOMER ID : 777777777 ; PRODUCT NAME : prod5 ; QUANTITY : 7

